name;latitude;longitude
E.Leclerc SAINT BREVIN;47.2438;-2.157889999999952
E.Leclerc PORNIC;47.1249;-2.1273499999999785
E.Leclerc CLISSON;47.0959;-1.2816100000000006
E.Leclerc PONTCHATEAU;47.4319;-2.0802099999999655
E.Leclerc ANCENIS;47.3737;-1.1924999999999955
E.Leclerc BLAIN;47.4747;-1.7546700000000328
E.Leclerc BASSE GOULAINE;47.1875;-1.4707200000000284
E.Leclerc CHATEAUBRIANT;47.7064;-1.3902000000000498
E.Leclerc Drive Saint-Nazaire-l'Immaculée;47.2884;-2.250949999999989
E.Leclerc Drive Pornic;47.1268;-2.124270000000024
E.Leclerc Drive Rezé Atout Sud;47.1932;-1.5761999999999716
E.Leclerc Drive Clisson;47.0969;-1.2828799999999774
E.Leclerc Drive Orvault / Grand Val;47.2626;-1.5905599999999822
E.Leclerc Drive Basse Goulaine / Nantes;47.185;-1.4639999999999418
E.Leclerc Drive Chateaubriant;47.7047;-1.3902799999999615
E.Leclerc Drive Ancenis - Saint-Géréon;47.3734;-1.1935799999999972
E.Leclerc Drive Saint-Nicolas-de-Redon;47.6476;-2.078480000000013
Lidl Saint Sebastien Sur Loire;47.2037;-1.4914699999999357
Lidl Saint Julien De Concelles;47.2515;-1.3849299999999403
Lidl Reze;47.1888;-1.5490399999999909
Lidl Reze;47.1845;-1.5599200000000337
Lidl Pornic;47.1258;-2.1180799999999635
Lidl Nantes;47.1978;-1.5917699999999968
Lidl Nantes;47.2546;-1.576159999999959
Lidl Nantes;47.1902;-1.520240000000058
Lidl Nantes;47.2235;-1.5980299999999943
Lidl Nantes;47.2046;-1.5531399999999849
Lidl Nantes;47.2428;-1.5277899999999818
Lidl Nantes;47.2143;-1.5264799999999923
Lidl Nantes;47.259;-1.5103000000000293
Lidl Machecoul;46.9855;-1.8126399999999876
Lidl Les Sorinieres;47.1487;-1.5274100000000317
Lidl Le Pouliguen;47.2783;-2.4366300000000365
Lidl La Chapelle Sur Erdre;47.3;-1.5554899999999634
Lidl La Baule;47.2911;-2.3966199999999844
Lidl Guerande;47.325;-2.4110299999999825
Lidl Guemene Penfao;47.6291;-1.8394700000000057
Lidl Clisson;47.097;-1.2827099999999518
Lidl Chateaubriant;47.7169;-1.3871000000000322
Lidl Bouguenais;47.1745;-1.6243799999999737
Lidl Bouaye;47.1638;-1.6806000000000267
Lidl Blain;47.4741;-1.763370000000009
Lidl Ancenis;47.372;-1.1763599999999315
Lidl Sautron;47.2594;-1.6542899999999463
Lidl Savenay;47.3719;-1.9366599999999607
Lidl St. Brevin Les Pins;47.2436;-2.155399999999986
Lidl St. Etienne De Montluc;47.2775;-1.7872499999999718
Lidl St. Nazaire;47.2587;-2.2826599999999644
Lidl St. Nazaire;47.2601;-2.2432400000000143
Lidl St. Nazaire;47.2848;-2.202729999999974
Lidl Trignac;47.2899;-2.208570000000009
Lidl Vallet;47.1579;-1.270970000000034
Super U;47.0849;-1.2629399999999578
Super U;47.3933;-1.055470000000014
Super U;47.1798;-2.1487500000000637
Super U;47.1122;-1.9360400000000482
Super U;47.5123;-2.0389000000000124
Super U;47.2631;-1.6649999999999636
U Express;47.1797;-1.5886000000000422
Super U;47.1287;-1.5860199999999622
Super U;47.5238;-1.1842599999999948
U Express;47.0394;-1.9430600000000595
Super U;47.22;-1.5320600000000013
Super U;47.7348;-1.5915999999999713
Hyper U;47.4496;-2.3140600000000404
Super U;47.2629;-1.4465400000000272
Hyper U;47.1768;-1.6787600000000111
Super U;47.3287;-2.1494900000000143
Super U;47.269;-1.333849999999984
Super U;47.4411;-1.499900000000025
Super U;47.6382;-1.8506999999999607
Super U;46.8869;-1.5940200000000004
Super U;47.2153;-1.6815000000000282
Hyper U;47.1684;-1.267590000000041
Super U;47.1711;-1.4681000000000495
U Express;47.1141;-2.0965099999999666
Super U;47.104;-1.8028600000000097
Super U;47.5716;-1.6273599999999533
Super U;47.1432;-1.6789400000000114
Super U;47.2196;-1.684949999999958
U Express;47.2329;-1.5665400000000318
Super U;47.3288;-1.7407699999999977
Super U;47.2782;-1.78904
Super U;47.2802;-2.2285100000000284
U Express;47.2532;-1.5599200000000337
Super U;47.1777;-1.558840000000032
Super U;47.3307;-1.6240999999999985
Super U;47.2855;-2.029890000000023
U-express;47.2045;-2.0438799999999446
Super U;47.2998;-1.4989199999999983
Super U;47.4119;-1.3787800000000061
Hyper U;47.7176;-1.3891399999999976
Super U;47.2334;-2.152720000000045
U-express;47.2502;-1.4850599999999758
Super U;44.8472;5.799219999999991
Super U;47.225;-1.6280699999999797
Hyper U;47.0465;-1.6412699999999631
Super U;46.9976;-1.816530000000057
Super U;47.1146;-2.1140100000000075
U Express;47.2368;-1.556510000000003
Super U;47.4776;-1.7630699999999706
Hyper U;47.3715;-1.9363799999999856
Super U;47.372;-1.1812199999999393
Super U;47.415;-1.6576300000000401
Super U;47.353;-2.5131300000000465
U Express;47.4315;-1.2283700000000408
U Express;47.2586;-1.5186400000000049
U Express;47.2159;-1.561239999999998
U Express;47.2378;-1.5869400000000269
Marché U;47.2572;-1.5109999999999673
Monoprix NANTES;47.2158;-1.5596000000000458
Monoprix NANTES DECRE;47.216;-1.5533699999999726
PETIT CASINO Nantes;47.2006;-1.5891699999999673
PETIT CASINO Nantes;47.2178;-1.5602800000000343
PETIT CASINO St Sebastien S/loire;47.2069;-1.5047200000000203
PETIT CASINO Pornic;47.1156;-2.1011100000000624
PETIT CASINO Nantes;47.2306;-1.5230599999999868
PETIT CASINO Nantes;47.2108;-1.55146000000002
SPAR Nantes;47.2052;-1.5555200000000013
SPAR Nantes;47.2019;-1.5450100000000475
SPAR Orvault;47.2743;-1.6194100000000162
SPAR Conquereuil;47.6253;-1.7524200000000292
SPAR Basse Goulaine;47.2156;-1.464719999999943
SPAR La Baule;47.2856;-2.3947200000000066
SPAR Pornichet;47.2592;-2.338610000000017
SPAR St Nazaire;47.2792;-1.1794399999999996
SPAR Prefailles;47.1281;-2.215000000000032
SPAR Nantes;47.2222;5.721649999999954
SPAR Missillac;47.4825;-2.161389999999983
SPAR Le Pouliguen;47.2775;-2.430280000000039
SPAR Nantes;47.2406;-1.5580499999999802
SPAR Courcoue Sur Lognes;46.9664;-1.5766700000000355
VIVAL Chemere Pornic;47.1219;-1.9144400000000132
VIVAL Orvault;47.2522;-1.5950000000000273
VIVAL Riaille;47.5169;-1.2930599999999686
VIVAL Guemene Penfao;47.6294;-1.8332900000000336
VIVAL St Nazaire;47.2649;-2.2476500000000215
VIVAL La Marne;46.9975;-1.7366700000000037
VIVAL Nantes;47.2208;-1.5483299999999645
VIVAL St Vincent Des Landes;47.6556;-1.4972199999999702
VIVAL St Mars De Coutais;47.1128;-1.7333300000000236
VIVAL Rouge;47.784;-1.4467500000000655
VIVAL Rouans;47.1856;-1.8597200000000385
VIVAL Paimboeuf;47.2892;-2.028059999999982
VIVAL Maumusson;47.4822;-1.1050000000000182
VIVAL Grand Auverne;47.5911;-1.3305599999999913
VIVAL La Meilleraye;47.5589;-1.402219999999943
VIVAL Fegreac;47.5851;-2.044620000000009
VIVAL Pannece;47.485;-1.2402799999999843
VIVAL Saffre;47.5016;-1.5785899999999629
VIVAL Les Touches;47.4422;-1.431320000000028
VIVAL Mouzillon;47.1408;-1.282220000000052
VIVAL Boussay;47.0431;-1.184439999999995
VIVAL Vay Gavre;47.554;-1.7033300000000509
VIVAL Chateaubriant;47.7189;-1.3775000000000546
